SR_NO,UID,NAME,URL,CATEGORIES,APPLICATION,SERIES,LENGTH,WIDTH,INSPIRATION,FINISH,COLOR,R,G,B,SQ.FT.,MINIMAL,BOHEMIAN,ASIAN,ART_MODERNE,FRENCH_COUNTRY,INDUSTRIAL,COASTAL_TROPICAL
575,1575,ORLANO PEARL,https://varmora.com/product/floor-tiles/orlano-pearl/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, PEARL,0.93,0.93,0.91,15.5,0,0,0,1,0,0,0
582,1582,PARADISO BIANCO,https://varmora.com/product/floor-tiles/paradiso-bianco/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, BIANCO,0.89,0.86,0.83,15.5,0,0,0,1,0,0,0
586,1586,PARLATO,https://varmora.com/product/floor-tiles/parlato/, GVT, WALL & FLOOR, HI-GLOSS,600,600, MARBLE, HIGH GLOSS, BLACK,0.07,0.07,0.12,15.5,0,0,0,1,0,0,0
596,1596,PEANUT,https://varmora.com/product/floor-tiles/peanut/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, WHITE,0.92,0.92,0.93,15.5,0,1,0,0,0,0,0
597,1597,PEARL IVORY,https://varmora.com/product/floor-tiles/pearl-ivory/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.96,0.94,0.89,15.5,1,0,1,0,0,0,0
599,1599,PEDRA,https://varmora.com/product/floor-tiles/pedra/, GVT, WALL & FLOOR, XTREAM,600,600, PEBBLES, GLOSSY, MULTI,0.75,0.72,0.7,15.5,0,0,0,1,0,0,1
611,1611,PONZIO AZUL,https://varmora.com/product/floor-tiles/ponzio-azul/, GVT, WALL & FLOOR, HI-GLOSS,600,600, MARBLE, HIGH GLOSS, AZUL,0.46,0.43,0.44,15.5,0,0,0,1,0,0,1
614,1614,PRIME WHITE,https://varmora.com/product/floor-tiles/prime-white-2/, DOUBLE CHARGE, WALL & FLOOR, PRIME,600,600, MARBLE, GLOSSY, WHITE,0.93,0.93,0.89,15.5,1,0,0,0,0,0,0
625,1625,QUBES,https://varmora.com/product/floor-tiles/qubes/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, WHITE,0.94,0.94,0.94,15.5,0,0,1,0,0,0,0
626,1626,RAINBOW,https://varmora.com/product/floor-tiles/rainbow/, GVT, WALL & FLOOR, XTREAM,600,600, FLOWER, GLOSSY, MULTI,0.8,0.8,0.76,15.5,0,1,1,0,0,0,0
