SR_NO,UID,NAME,URL,CATEGORIES,APPLICATION,SERIES,LENGTH,WIDTH,INSPIRATION,FINISH,COLOR,R,G,B,SQ.FT.,MINIMAL,BOHEMIAN,ASIAN,ART_MODERNE,FRENCH_COUNTRY,INDUSTRIAL,COASTAL_TROPICAL
25,1025,ALTAS,https://varmora.com/product/floor-tiles/altas/, GVT, WALL & FLOOR, EMPIRE,600,600, GEOMETRIC, RUSTIC, GREY,0.65,0.64,0.62,15.5,0,1,0,0,0,0,0
33,1033,AMAZON ASH,https://varmora.com/product/floor-tiles/amazon-ash/, DOUBLE CHARGE, WALL & FLOOR, ORNATE,600,600, MARBLE, GLOSSY, ASH,0.51,0.49,0.48,15.5,0,0,0,1,0,0,0
34,1034,AMAZON BEIGE,https://varmora.com/product/floor-tiles/amazon-beige/, DOUBLE CHARGE, WALL & FLOOR, ORNATE,600,600, MARBLE, GLOSSY, BEIGE,0.91,0.89,0.82,15.5,0,0,0,0,0,1,0
35,1035,AMAZON BLACK,https://varmora.com/product/floor-tiles/amazon-black/, DOUBLE CHARGE, WALL & FLOOR, LAVISH,600,600, MARBLE, GLOSSY, BLACK,0.3,0.29,0.29,15.5,0,0,0,1,0,0,0
36,1036,AMAZON BROWN,https://varmora.com/product/floor-tiles/amazon-brown/, DOUBLE CHARGE, WALL & FLOOR, LAVISH,600,600, MARBLE, GLOSSY, BROWN,0.41,0.32,0.29,15.5,0,1,0,0,1,0,1
37,1037,AMAZON RED,https://varmora.com/product/floor-tiles/amazon-red/, DOUBLE CHARGE, WALL & FLOOR, LAVISH,600,600, MARBLE, GLOSSY, RED,0.58,0.39,0.36,15.5,0,1,0,0,0,0,0
38,1038,AMAZON WHITE,https://varmora.com/product/floor-tiles/amazon-white/, DOUBLE CHARGE, WALL & FLOOR, ORNATE,600,600, MARBLE, GLOSSY, WHITE,0.94,0.94,0.91,15.5,1,0,0,0,0,1,0
51,1051,ANGLES,https://varmora.com/product/floor-tiles/angles/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, BROWN,0.7,0.66,0.61,15.5,0,1,0,0,0,0,0
60,1060,ARDEN ONYX GREY,https://varmora.com/product/floor-tiles/arden-onyx-grey/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, GREY,0.92,0.91,0.9,15.5,1,0,0,1,0,0,0
62,1062,ARDEN ONYX OLIVE,https://varmora.com/product/floor-tiles/arden-onyx-olive/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, OLIVE,0.93,0.92,0.91,15.5,0,0,0,0,1,0,1
63,1063,AREMENIA,https://varmora.com/product/floor-tiles/aremenia/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.89,0.86,0.79,15.5,1,0,0,0,0,0,0
67,1067,ARMANI WHITE,https://varmora.com/product/floor-tiles/armani-white/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, WHITE,0.96,0.96,0.97,15.5,1,0,0,0,0,1,0
74,1074,ARTECH BIANCO,https://varmora.com/product/floor-tiles/artech-bianco/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BIANCO,0.92,0.88,0.82,15.5,1,0,0,0,0,1,0
75,1075,ARTECH BLUE,https://varmora.com/product/floor-tiles/artech-blue/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BLUE,0.42,0.54,0.63,15.5,0,0,0,0,1,0,1
76,1076,ARTECH BROWN,https://varmora.com/product/floor-tiles/artech-brown/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BROWN,0.33,0.24,0.16,15.5,0,0,0,1,0,0,0
77,1077,ARTECH COPPER,https://varmora.com/product/floor-tiles/artech-copper/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, COPPER,0.8,0.6,0.4,15.5,0,1,0,0,0,0,0
78,1078,ARTECH DECOR 1,https://varmora.com/product/floor-tiles/artech-decor-1/, GVT, WALL & FLOOR, RUSTICO,600,600, GEOMETRIC, RUSTIC, BLUE,0.48,0.49,0.5,15.5,0,1,0,0,0,0,0
79,1079,ARTECH DECOR 2,https://varmora.com/product/floor-tiles/artech-decor-2/, GVT, WALL & FLOOR, RUSTICO,600,600, GEOMETRIC, RUSTIC, IVORY,0.86,0.72,0.59,15.5,0,1,0,0,0,0,0
80,1080,ARTECH GREY,https://varmora.com/product/floor-tiles/artech-grey/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, GREY,0.78,0.77,0.75,15.5,1,0,0,0,0,1,0
81,1081,ARTECH GRISS,https://varmora.com/product/floor-tiles/artech-griss/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, GRISS,0.3,0.3,0.3,15.5,1,0,0,0,0,1,0
83,1083,ARTECH NERO,https://varmora.com/product/floor-tiles/artech-nero/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, NERO,0.19,0.18,0.14,15.5,1,0,0,0,0,0,0
86,1086,ARTY,https://varmora.com/product/floor-tiles/arty/, GVT, WALL & FLOOR, HIGLOSS,600,600, MARBLE, HIGH GLOSS, BROWN,0.66,0.51,0.38,15.5,0,0,0,1,0,0,0
94,1094,ASPEN WOOD CHOCO,https://varmora.com/product/floor-tiles/aspen-wood-choco/, GVT, WALL & FLOOR, LAPATURE,600,600, WOOD, SUGAR, CHOCO,0.51,0.38,0.29,15.5,0,0,0,0,1,0,1
95,1095,ASPEN WOOD CREMA,https://varmora.com/product/floor-tiles/aspen-wood-crema/, GVT, WALL & FLOOR, LAPATURE,600,600, WOOD, SUGAR, CREAM,0.86,0.71,0.58,15.5,0,0,0,0,1,0,1
96,1096,ASPEN WOOD WANGUE,https://varmora.com/product/floor-tiles/aspen-wood-wangue/, GVT, WALL & FLOOR, LAPATURE,600,600, WOOD, SUGAR, WANGUE,0.29,0.26,0.22,15.5,0,0,0,1,0,0,0
97,1097,ASTER BLUE,https://varmora.com/product/floor-tiles/aster-blue/, GVT, WALL & FLOOR, XTREAM,600,600, FLOWER, GLOSSY, BLUE,0.73,0.78,0.82,15.5,0,1,0,0,0,0,0
98,1098,ATHENA BISC,https://varmora.com/product/floor-tiles/athena-bisc/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, BEIGE,0.99,0.99,0.99,15.5,1,0,0,0,0,0,0
103,1103,AVALON BROWN,https://varmora.com/product/floor-tiles/avalon-brown/, GVT, WALL & FLOOR, EMPIRE,600,600, GEOMETRIC, RUSTIC, BROWN,0.66,0.6,0.54,15.5,0,1,0,0,0,0,0
104,1104,AVALON GRAY,https://varmora.com/product/floor-tiles/avalon-gray/, GVT, WALL & FLOOR, EMPIRE,600,600, GEOMETRIC, RUSTIC, GREY,0.58,0.56,0.54,15.5,0,1,0,0,0,0,0
105,1105,AVARIS,https://varmora.com/product/floor-tiles/avaris/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.97,0.94,0.89,15.5,1,0,0,0,0,0,0
108,1108,AVION,https://varmora.com/product/floor-tiles/avion/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.92,0.88,0.82,15.5,1,0,0,0,0,0,0
109,1109,BALON BEIGE,https://varmora.com/product/floor-tiles/balon-beige/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, CREAM,0.92,0.84,0.77,15.5,0,1,0,0,0,0,0
110,1110,BASS WOOD BEIGE,https://varmora.com/product/floor-tiles/bass-wood-beige/, GVT, WALL & FLOOR, WOODENZA,600,600, WOOD, WOODEN, BEIGE,0.76,0.58,0.36,15.5,0,0,0,0,1,0,1
111,1111,BELD WOOD BIANCO,https://varmora.com/product/floor-tiles/beld-wood-bianco/, GVT, WALL & FLOOR, WOODENZA,600,600, WOOD, WOODEN, BIANCO,0.8,0.77,0.75,15.5,0,0,1,0,0,1,0
112,1112,BELD WOOD NATURAL,https://varmora.com/product/floor-tiles/beld-wood-natural/, GVT, WALL & FLOOR, WOODENZA,600,600, WOOD, WOODEN, NATURAL,0.67,0.54,0.43,15.5,0,0,1,0,0,1,0
113,1113,BENZ,https://varmora.com/product/floor-tiles/benz/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.93,0.89,0.82,15.5,1,0,0,0,0,0,0
136,1136,BLOM BLUE,https://varmora.com/product/floor-tiles/blom-blue/, GVT, WALL & FLOOR, XTREAM,600,600, FLOWER, GLOSSY, BLUE,0.75,0.8,0.88,15.5,0,1,1,0,0,0,0
137,1137,BLOM WHITE,https://varmora.com/product/floor-tiles/blom-white/, GVT, WALL & FLOOR, XTREAM,600,600, FLOWER, GLOSSY, WHITE,0.96,0.96,0.96,15.5,0,1,1,0,0,0,0
150,1150,BOTTOCHINO REGAL,https://varmora.com/product/floor-tiles/bottochino-regal/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, BEIGE,0.88,0.84,0.76,15.5,1,0,0,0,0,0,0
152,1152,BRAWD EMPRADOR,https://varmora.com/product/floor-tiles/brawd-emprador/, GVT, WALL & FLOOR, HI-GLOSS,600,600, MARBLE, HIGH GLOSS, BROWN,0.41,0.32,0.26,15.5,0,0,0,1,0,0,0
156,1156,BRECCIA NOVA,https://varmora.com/product/floor-tiles/breccia-nova/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, BEIGE,0.93,0.83,0.72,15.5,0,0,0,1,0,0,0
163,1163,BREZZA,https://varmora.com/product/floor-tiles/brezza/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.94,0.91,0.85,15.5,1,0,0,0,0,1,0
164,1164,BRILLER ASH,https://varmora.com/product/floor-tiles/briller-ash/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, ASH,0.68,0.64,0.61,15.5,1,0,0,0,0,1,0
165,1165,BRILLER BIANCO,https://varmora.com/product/floor-tiles/briller-bianco/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, BIANCO,0.86,0.81,0.78,15.5,1,0,0,0,0,1,0
166,1166,BRILLER GREY,https://varmora.com/product/floor-tiles/briller-grey/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, GREY,0.61,0.59,0.59,15.5,1,0,0,0,0,1,0
167,1167,BRILLER NERO,https://varmora.com/product/floor-tiles/briller-nero/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, NERO,0.37,0.34,0.32,15.5,1,0,0,0,0,1,0
176,1176,BURBERRY BEIGE,https://varmora.com/product/floor-tiles/burberry-beige/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, BEIGE,0.81,0.69,0.55,15.5,0,0,0,1,0,0,0
179,1179,BURBERRY CREMA,https://varmora.com/product/floor-tiles/burberry-crema/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, CREAM,0.86,0.77,0.67,15.5,0,0,0,1,0,0,0
183,1183,CANARY AZUL,https://varmora.com/product/floor-tiles/canary-azul/, GVT, WALL & FLOOR, RUSTICO,600,600, CEMENT, RUSTIC, AZUL,0.24,0.3,0.33,15.5,0,1,0,1,0,0,0
185,1185,CANARY IVORY,https://varmora.com/product/floor-tiles/canary-ivory/, GVT, WALL & FLOOR, RUSTICO,600,600, CEMENT, RUSTIC, IVORY,0.89,0.8,0.69,15.5,0,0,0,1,0,0,0
186,1186,CANARY LAVA,https://varmora.com/product/floor-tiles/canary-lava/, GVT, WALL & FLOOR, RUSTICO,600,600, CEMENT, RUSTIC, LAVA,0.22,0.2,0.18,15.5,0,0,0,1,0,0,0
187,1187,CANARY TERASTONE,https://varmora.com/product/floor-tiles/canary-terastone/, GVT, WALL & FLOOR, RUSTICO,600,600, CEMENT, RUSTIC, TERASTONE,0.78,0.49,0.3,15.5,0,0,0,1,0,0,0
188,1188,CANARY VERDE,https://varmora.com/product/floor-tiles/canary-verde/, GVT, WALL & FLOOR, RUSTICO,600,600, CEMENT, RUSTIC, VERDE,0.25,0.23,0.15,15.5,0,0,0,1,0,0,0
189,1189,CANARY VOLCANO,https://varmora.com/product/floor-tiles/canary-volcano/, GVT, WALL & FLOOR, RUSTICO,600,600, CEMENT, RUSTIC, VOLCANO,0.43,0.25,0.09,15.5,0,0,0,1,0,0,0
190,1190,CANDID WHITE,https://varmora.com/product/floor-tiles/c-a-n-d-i-d-w-h-i-t-e/, DOUBLE CHARGE, WALL & FLOOR, CANDID,600,600, MARBLE, GLOSSY, WHITE,0.94,0.93,0.91,15.5,0,0,0,0,0,1,0
191,1191,CANYON,https://varmora.com/product/floor-tiles/canyon/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.94,0.9,0.84,15.5,1,0,0,0,0,0,0
194,1194,CASCADE,https://varmora.com/product/floor-tiles/cascade/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.95,0.93,0.88,15.5,0,1,0,0,0,0,0
195,1195,CATINA,https://varmora.com/product/floor-tiles/catina/, VITRIFIED, WALL & FLOOR, SASSO,600,600, WOOD, GLOSSY, IVORY,0.93,0.9,0.84,15.5,0,0,0,0,1,0,1
196,1196,CEDAL WOOD BEIGE,https://varmora.com/product/floor-tiles/cedal-wood-beige/, GVT, WALL & FLOOR, WOODENZA,600,600, WOOD, WOODEN, BEIGE,0.74,0.58,0.43,15.5,0,0,0,0,1,0,1
214,1214,CLASSIC DYNA BEIGE,https://varmora.com/product/floor-tiles/classic-dyna-beige/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, BEIGE,0.97,0.84,0.7,15.5,0,0,0,1,1,0,1
215,1215,CLOBBER,https://varmora.com/product/floor-tiles/clobber/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, CREAM,0.96,0.92,0.85,15.5,0,0,1,1,0,0,0
233,1233,COTTAGE WOOD BIANCO,https://varmora.com/product/floor-tiles/cottage-wood-bianco/, GVT, WALL & FLOOR, XTREAM,600,600, WOOD, WOODEN, BIANCO,0.88,0.88,0.88,15.5,0,0,0,0,1,0,1
234,1234,COTTAGE WOOD COPPER,https://varmora.com/product/floor-tiles/cottage-wood-copper/, GVT, WALL & FLOOR, XTREAM,600,600, WOOD, WOODEN, COPPER,0.5,0.34,0.23,15.5,0,0,0,0,1,0,1
235,1235,COTTAGE WOOD CREMA,https://varmora.com/product/floor-tiles/cottage-wood-crema/, GVT, WALL & FLOOR, XTREAM,600,600, WOOD, WOODEN, CREAM,0.95,0.83,0.71,15.5,0,0,1,0,1,0,1
236,1236,CREMA MARFIL BEIGE,https://varmora.com/product/floor-tiles/crema-marfil-beige/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, BEIGE,0.86,0.76,0.64,15.5,0,0,0,1,0,0,0
238,1238,CREMA MARFIL IVORY,https://varmora.com/product/floor-tiles/crema-marfil-ivory/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, IVORY,0.93,0.88,0.82,15.5,0,0,0,1,0,0,0
239,1239,CRETA,https://varmora.com/product/floor-tiles/creta/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.93,0.9,0.84,15.5,1,0,0,0,0,0,0
242,1242,CROMA,https://varmora.com/product/floor-tiles/croma/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.91,0.86,0.78,15.5,0,0,0,0,0,0,1
254,1254,DIMA,https://varmora.com/product/floor-tiles/dima/, GVT, WALL & FLOOR, ATLAS,600,600, GEOMETRIC, GLOSSY, MULTI,0.64,0.56,0.5,15.5,0,1,0,0,0,0,0
255,1255,DIMAS,https://varmora.com/product/floor-tiles/dimas/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.93,0.9,0.83,15.5,0,0,0,1,0,0,0
265,1265,DORI STONE COPPER,https://varmora.com/product/floor-tiles/dori-stone-copper/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, COPPER,0.62,0.52,0.44,15.5,0,0,0,1,0,0,0
266,1266,DORI STONE CREMA,https://varmora.com/product/floor-tiles/dori-stone-crema/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, CREAM,0.81,0.75,0.7,15.5,0,0,0,1,0,0,0
267,1267,DORI STONE DOVE,https://varmora.com/product/floor-tiles/dori-stone-dove/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, DOVE,0.72,0.7,0.68,15.5,0,0,0,1,0,0,0
268,1268,DORI STONE IVORY,https://varmora.com/product/floor-tiles/dori-stone-ivory/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, IVORY,0.93,0.86,0.78,15.5,0,0,0,1,0,0,0
269,1269,DORI STONE NERO,https://varmora.com/product/floor-tiles/dori-stone-nero/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, NERO,0.4,0.36,0.32,15.5,0,0,0,1,0,0,0
270,1270,DORI STONE PEARL,https://varmora.com/product/floor-tiles/dori-stone-pearl/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, RUSTIC MATT, PEARL,0.88,0.86,0.84,15.5,0,0,0,1,0,0,0
279,1279,DYNO VIVANTA,https://varmora.com/product/floor-tiles/dyno-vivanta/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, BEIGE,0.88,0.78,0.64,15.5,1,0,0,0,0,0,1
285,1285,ELEGANZA ALMOND,https://varmora.com/product/floor-tiles/eleganza-almond/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, BROWN,0.75,0.59,0.42,15.5,0,0,0,0,0,0,1
286,1286,ELEGANZA BLACK,https://varmora.com/product/floor-tiles/eleganza-black/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, BLACK,0.29,0.28,0.29,15.5,0,0,0,1,0,0,1
287,1287,ELEGANZA CHOCO,https://varmora.com/product/floor-tiles/eleganza-choco/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, CHOCO,0.49,0.37,0.3,15.5,0,0,0,1,0,0,0
288,1288,ELEGANZA DOVE,https://varmora.com/product/floor-tiles/eleganza-dove/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, DOVE,0.57,0.55,0.51,15.5,0,0,0,1,0,0,0
289,1289,ELEGANZA EBONY,https://varmora.com/product/floor-tiles/eleganza-ebony/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, BLACK,0.47,0.46,0.48,15.5,0,0,0,1,0,0,0
290,1290,ELEGANZA GREEN,https://varmora.com/product/floor-tiles/eleganza-green/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, GREEN,0.28,0.4,0.32,15.5,0,0,0,1,0,0,0
291,1291,ELEGANZA ORANGE,https://varmora.com/product/floor-tiles/eleganza-orange/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, ORANGE,0.68,0.45,0.36,15.5,0,0,0,1,0,0,0
292,1292,ELEGANZA RED,https://varmora.com/product/floor-tiles/eleganza-red/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, RED,0.66,0.38,0.34,15.5,0,0,0,1,0,0,0
293,1293,ELEGANZA RUBY,https://varmora.com/product/floor-tiles/eleganza-ruby/, DOUBLE CHARGE, WALL & FLOOR, ELEGANZA,600,600, MARBLE, GLOSSY, CREAM,0.66,0.55,0.48,15.5,0,0,0,1,0,0,0
297,1297,EMERICO,https://varmora.com/product/floor-tiles/emerico/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.94,0.91,0.86,15.5,0,0,1,0,0,0,0
299,1299,EMP PATTERN 5,https://varmora.com/product/floor-tiles/emp-pattern-5/, GVT, WALL & FLOOR, RUSTICO,600,600, GEOMETRIC, RUSTIC, BEIGE,0.77,0.72,0.66,15.5,0,1,0,0,0,0,0
300,1300,EMP PATTERN 8,https://varmora.com/product/floor-tiles/emp-pattern-8/, GVT, WALL & FLOOR, RUSTICO,600,600, GEOMETRIC, RUSTIC, MULTI,0.71,0.7,0.67,15.5,0,1,0,0,0,0,0
302,1302,EMPRADOR FUME,https://varmora.com/product/floor-tiles/emprador-fume/, GVT, WALL & FLOOR, HI-GLOSS,600,600, MARBLE, HIGH GLOSS, BROWN,0.51,0.39,0.3,15.5,0,0,1,1,0,0,0
316,1316,FIJI SATUARIO,https://varmora.com/product/floor-tiles/fiji-satuario/, GVT, WALL & FLOOR, ATLAS,600,600, MARBLE, GLOSSY, WHITE,0.89,0.88,0.87,15.5,0,1,0,0,0,0,0
320,1320,FIORE WHITE,https://varmora.com/product/floor-tiles/fiore-white/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, WHITE,0.96,0.96,0.95,15.5,1,0,0,1,0,0,0
329,1329,GALLERY AVORIO,https://varmora.com/product/floor-tiles/gallery-avorio/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, MATT, GREY,0.82,0.78,0.73,15.5,1,0,0,0,0,0,0
330,1330,GALLERY BROWN,https://varmora.com/product/floor-tiles/gallery-brown/, GVT, WALL & FLOOR, EMRALD,600,600, CEMENT, MATT, GRISS,0.41,0.35,0.24,15.5,1,0,0,0,0,0,0
331,1331,GEA AZUL,https://varmora.com/product/floor-tiles/gea-azul/, GVT, WALL & FLOOR, EMPIRE,600,600, GEOMETRIC, RUSTIC, AZUL,0.71,0.68,0.66,15.5,0,1,0,0,0,0,0
339,1339,GLACIER,https://varmora.com/product/floor-tiles/glacier/, VITRIFIED, WALL & FLOOR, SASSO,600,600, STONE, GLOSSY, IVORY,0.93,0.89,0.83,15.5,0,0,1,0,0,0,1
347,1347,GRACE BEIGE,https://varmora.com/product/floor-tiles/grace-beige/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BEIGE,0.97,0.95,0.91,15.5,0,0,0,0,0,1,0
348,1348,GRACE BIANCO,https://varmora.com/product/floor-tiles/grace-bianco/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, BIANCO,0.96,0.95,0.94,15.5,1,0,0,0,0,0,0
349,1349,GRACE DOVE,https://varmora.com/product/floor-tiles/grace-dove/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, DOVE,0.96,0.95,0.92,15.5,1,0,0,0,0,0,0
351,1351,GRACE TUSK,https://varmora.com/product/floor-tiles/grace-tusk/, GVT, WALL & FLOOR, EMRALD,600,600, STONE, MATT, TUSK,0.97,0.94,0.91,15.5,1,0,0,0,0,0,0
352,1352,GRAND ONYX BEIGE,https://varmora.com/product/floor-tiles/grand-onyx-beige/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, BEIGE,0.95,0.9,0.83,15.5,0,0,0,0,1,0,1
358,1358,H 8001 VRM,https://varmora.com/product/floor-tiles/h-8001-vrm/, PORCELAIN, WALL & FLOOR, GRACIA,600,600, GEOMETRIC, MATT, MULTI,0.64,0.56,0.49,15.5,0,1,0,0,0,0,0
